version,iter,trend_y_true,trend_y_truesecond,trend_y_hat,trend_yera_hat
EC-Earth3,40,1.8474426,1.9156799,1.232666,1.4942017
EC-Earth3,41,4.3493958,4.443054,3.8580322,3.524109
EC-Earth3,42,4.306946,4.3723755,3.5673828,3.4624634
EC-Earth3,43,4.5148315,4.9782715,4.325836,4.3237915
EC-Earth3,44,1.8286438,2.340973,1.9451294,1.6430664
EC-Earth3,45,4.271698,4.304901,4.0689087,3.5552368
EC-Earth3,46,1.0578613,0.82403564,1.1367798,1.288971
EC-Earth3,47,4.4026794,4.302948,3.5506897,3.3993835
EC-Earth3,48,2.0095215,1.9996033,2.0532837,1.6908569
EC-Earth3,49,1.5883484,0.89297485,1.4613953,1.2191467
EC-Earth3,50,3.5029297,4.158539,3.332489,3.5217285
EC-Earth3-Veg,1,2.0734558,2.1446228,1.5925903,1.342102
EC-Earth3-Veg,2,1.4460144,1.6945801,0.7311096,1.3369446
EC-Earth3-Veg,3,4.5957947,4.5279236,4.8315735,4.526581
EC-Earth3-Veg,4,3.5333252,4.116333,3.426056,3.6675415
EC-Earth3-Veg,5,2.2397766,1.7491455,1.6504822,1.2936401
EC-Earth3-Veg,6,1.6376343,1.0753479,0.9503784,0.8567505
EC-Earth3-Veg,7,1.6945801,2.0401,0.8233948,1.3493347
EC-Earth3-Veg,8,1.7618408,2.181305,0.74554443,1.2349854
EC-Earth3-Veg,9,5.5110474,4.9931335,5.752533,4.5441895
EC-Earth3-Veg,10,4.5081177,4.0615845,4.595398,3.8108826
EC-Earth3-Veg,11,2.211609,1.6577759,1.4824219,1.3450317
EC-Earth3-Veg,12,4.2942505,4.411316,4.493042,3.7286987
EC-Earth3-Veg,13,4.3372498,3.8907166,4.2601013,3.6152954
EC-Earth3-Veg,14,5.8762207,5.9306946,6.2963867,4.682495
EC-Earth3-Veg,15,5.0803223,4.5624084,5.7056885,4.6689453
EC-Earth3-Veg,16,4.6047974,5.0682373,4.6523743,4.593384
EC-Earth3-Veg,17,1.7386475,2.4864502,0.92401123,0.88272095
EC-Earth3-Veg,18,1.916748,1.3226624,1.4100037,1.3526306
EC-Earth3-Veg,19,4.411316,4.2942505,4.474762,3.6914062
EC-Earth3-Veg,20,4.954193,5.435974,4.483368,4.5910645
EC-Earth3-Veg,21,5.378296,5.446167,5.0771484,4.699188
EC-Earth3-Veg,22,1.4800415,2.0278625,0.27209473,0.9296875
EC-Earth3-Veg,23,1.951416,2.104248,1.341919,1.1007996
EC-Earth3-Veg,24,2.2397766,2.1686096,1.3612976,1.2202148
EC-Earth3-Veg,25,4.6047974,5.0865784,4.6362305,4.6471252
EC-Earth3-Veg,26,3.6566772,4.3567505,3.5438843,3.9275208
EC-Earth3-Veg,27,1.4591064,1.1306458,0.78512573,0.8438721
EC-Earth3-Veg,28,1.1710205,1.4994812,0.4052124,0.6472473
EC-Earth3-Veg,29,1.2788696,1.0788879,0.34527588,0.83444214
EC-Earth3-Veg,30,5.199585,4.7864075,5.5223083,4.7720337
EC-Earth3-Veg,31,4.158722,3.7079468,4.4718933,3.7690735
EC-Earth3-Veg,32,1.5602112,2.1140442,0.91973877,1.3309631
EC-Earth3-Veg,33,3.8434753,3.8477173,3.5881653,3.8061523
EC-Earth3-Veg,34,5.085663,5.0803223,5.680603,4.635956
EC-Earth3-Veg,35,5.2582397,5.222107,5.6817627,4.643738
