driving_model,scenario,is_test,file_glob,source,members_used
UKESM1-0-LL,ssp119,False,data_DAT_UKESM1-0-LL_ssp119_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
ACCESS-CM2,ssp126,False,data_DAT_ACCESS-CM2_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
ACCESS-ESM1-5,ssp126,False,data_DAT_ACCESS-ESM1-5_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5,ssp126,False,data_DAT_CanESM5_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5-1,ssp126,False,data_DAT_CanESM5-1_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5-CanOE,ssp126,False,data_DAT_CanESM5-CanOE_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CESM2,ssp126,False,data_DAT_CESM2_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CESM2-WACCM,ssp126,False,data_DAT_CESM2-WACCM_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3,ssp126,False,data_DAT_EC-Earth3_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3-CC,ssp126,False,data_DAT_EC-Earth3-CC_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3-Veg,ssp126,False,data_DAT_EC-Earth3-Veg_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
